Thu Feb  8 10:24:30 2024    my_apt_imp.pyprofile

         352755 function calls (352749 primitive calls) in 0.224 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.122    0.122    0.124    0.124 /Users/shyamkatnagallu/Projects/APTrajectories/RobinRollandModel/datautils.py:31(isInHull)
        1    0.014    0.014    0.015    0.015 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/ase/atoms.py:1165(__imul__)
    11193    0.013    0.000    0.042    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/periodic_table.py:84(__getitem__)
        1    0.012    0.012    0.152    0.152 /Users/shyamkatnagallu/Projects/APTrajectories/RobinRollandModel/datautils.py:106(create_tip)
    11193    0.007    0.000    0.026    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/series.py:1085(__getitem__)
    11191    0.004    0.000    0.049    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atoms.py:290(<dictcomp>)
    11193    0.004    0.000    0.011    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/series.py:1210(_get_value)
    11197    0.004    0.000    0.006    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/indexing.py:2758(check_dict_or_set_indexers)
    11194    0.003    0.000    0.004    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/indexes/base.py:3774(get_loc)
    11191    0.003    0.000    0.053    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atoms.py:288(_store_elements)
    11198    0.003    0.000    0.003    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pandas/core/indexes/base.py:5319(__contains__)
     5596    0.003    0.000    0.056    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/atoms.py:706(convert_element)
    67242    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
    16788    0.003    0.000    0.003    0.000 {built-in method builtins.repr}
    16788    0.002    0.000    0.006    0.000 /opt/homebrew/anaconda3/envs/pyiron/lib/python3.11/site-packages/pyiron_atomistics/atomistics/structure/periodic_table.py:131(__hash__)
       18    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
